code,name,ktype,fq,tdate,open,close,high,low,cjl,cje,zf,zdf,zde,hsl
"股票代码","股票名称","K线类别","复权信息，除沪深京A股、B股、港股外，其余复权值默认为前复权","交易时间","开盘价","收盘价","最高价","最低价","成交量","成交额","振幅","涨跌幅","涨跌额","换手率"
000001,平安银行,101,1,2024-02-21,9.78,10.8,10.8,9.77,5055280.0,5295260160,10.49,9.98,0.98,2.61
000001,平安银行,101,1,2024-02-22,10.65,10.9,10.91,10.62,4922320.0,5307740160,2.69,0.93,0.1,2.54
000001,平安银行,101,1,2024-02-23,10.88,10.85,11.24,10.84,3567480.0,3917319936,3.67,-0.46,-0.05,1.84
000001,平安银行,101,1,2024-02-26,10.78,10.53,10.88,10.5,2862610.0,3048209920,3.5,-2.95,-0.32,1.48
000001,平安银行,101,1,2024-02-27,10.49,10.5,10.6,10.46,1981900.0,2083030016,1.33,-0.28,-0.03,1.02
000001,平安银行,101,1,2024-02-28,10.51,10.49,10.7,10.4,3082690.0,3253339904,2.86,-0.1,-0.01,1.59
000001,平安银行,101,1,2024-02-29,10.42,10.59,10.59,10.41,1845340.0,1936019968,1.72,0.95,0.1,0.95
000001,平安银行,101,1,2024-03-01,10.59,10.49,10.6,10.43,1828100.0,1917689984,1.61,-0.94,-0.1,0.94
000001,平安银行,101,1,2024-03-04,10.45,10.33,10.5,10.32,1655930.0,1719559936,1.72,-1.53,-0.16,0.85
000001,平安银行,101,1,2024-03-05,10.3,10.43,10.47,10.26,1817320.0,1889139968,2.03,0.97,0.1,0.94
000001,平安银行,101,1,2024-03-06,10.4,10.33,10.45,10.33,1345640.0,1396940032,1.15,-0.96,-0.1,0.69
000001,平安银行,101,1,2024-03-07,10.33,10.38,10.64,10.33,2016170.0,2109590016,3.0,0.48,0.05,1.04
000001,平安银行,101,1,2024-03-08,10.35,10.38,10.44,10.3,1113970.0,1154489984,1.35,0.0,0.0,0.57
000001,平安银行,101,1,2024-03-11,10.38,10.47,10.47,10.34,1210670.0,1260210048,1.25,0.87,0.09,0.62
000001,平安银行,101,1,2024-03-12,10.48,10.56,10.59,10.41,1641260.0,1722000000,1.72,0.86,0.09,0.85
000001,平安银行,101,1,2024-03-13,10.53,10.33,10.55,10.3,1768040.0,1834649984,2.37,-2.18,-0.23,0.91
000001,平安银行,101,1,2024-03-14,10.3,10.23,10.38,10.2,1409400.0,1448499968,1.74,-0.97,-0.1,0.73
000001,平安银行,101,1,2024-03-15,10.55,10.6,10.75,10.5,3750210.0,3973799936,2.44,3.62,0.37,1.93
000001,平安银行,101,1,2024-03-18,10.56,10.54,10.61,10.49,1671400.0,1761250048,1.13,-0.57,-0.06,0.86
000001,平安银行,101,1,2024-03-19,10.53,10.4,10.54,10.39,1293220.0,1351069952,1.42,-1.33,-0.14,0.67
000001,平安银行,101,1,2024-03-20,10.38,10.45,10.47,10.37,872663.0,910278976,0.96,0.48,0.05,0.45
000001,平安银行,101,1,2024-03-21,10.45,10.47,10.52,10.42,864466.0,905422016,0.96,0.19,0.02,0.45
000001,平安银行,101,1,2024-03-22,10.45,10.36,10.45,10.31,1028140.0,1065539968,1.34,-1.05,-0.11,0.53
000001,平安银行,101,1,2024-03-25,10.35,10.4,10.49,10.32,953202.0,993304000,1.64,0.39,0.04,0.49
000001,平安银行,101,1,2024-03-26,10.45,10.6,10.66,10.42,1740020.0,1835379968,2.31,1.92,0.2,0.9
000001,平安银行,101,1,2024-03-27,10.56,10.53,10.63,10.51,1274140.0,1347399936,1.13,-0.66,-0.07,0.66
000001,平安银行,101,1,2024-03-28,10.51,10.49,10.57,10.38,1302190.0,1362979968,1.8,-0.38,-0.04,0.67
000001,平安银行,101,1,2024-03-29,10.45,10.52,10.57,10.43,872759.0,917331968,1.33,0.29,0.03,0.45
000002,万  科Ａ,101,1,2024-01-02,10.44,10.15,10.48,10.15,811106.0,830766016,3.15,-2.96,-0.31,0.83
000002,万  科Ａ,101,1,2024-01-03,10.15,10.13,10.23,10.04,610921.0,618688000,1.87,-0.2,-0.02,0.63
000002,万  科Ａ,101,1,2024-01-04,10.1,9.93,10.11,9.89,851919.0,847123968,2.17,-1.97,-0.2,0.88
000002,万  科Ａ,101,1,2024-01-05,9.92,9.99,10.13,9.88,739604.0,741465984,2.52,0.6,0.06,0.76
000002,万  科Ａ,101,1,2024-01-08,10.03,9.82,10.11,9.81,658007.0,652931968,3.0,-1.7,-0.17,0.68
000002,万  科Ａ,101,1,2024-01-09,9.83,9.88,9.98,9.73,530900.0,523366016,2.55,0.61,0.06,0.55
000002,万  科Ａ,101,1,2024-01-10,9.85,9.74,9.88,9.72,608315.0,595513024,1.62,-1.42,-0.14,0.63
000002,万  科Ａ,101,1,2024-01-11,9.73,9.76,9.81,9.62,731623.0,710953024,1.95,0.21,0.02,0.75
000002,万  科Ａ,101,1,2024-01-12,9.7,9.7,9.87,9.66,718737.0,701755008,2.15,-0.61,-0.06,0.74
000002,万  科Ａ,101,1,2024-01-15,9.62,9.71,9.78,9.44,785606.0,756259008,3.51,0.1,0.01,0.81
000002,万  科Ａ,101,1,2024-01-16,9.67,9.61,9.7,9.48,659467.0,632545984,2.27,-1.03,-0.1,0.68
000002,万  科Ａ,101,1,2024-01-17,9.57,9.34,9.57,9.31,795634.0,748620032,2.71,-2.81,-0.27,0.82
000002,万  科Ａ,101,1,2024-01-18,9.29,9.4,9.41,9.13,893507.0,828888000,3.0,0.64,0.06,0.92
000002,万  科Ａ,101,1,2024-01-19,9.31,9.41,9.45,9.27,609297.0,572148992,1.91,0.11,0.01,0.63
000002,万  科Ａ,101,1,2024-01-22,9.27,9.05,9.3,9.0,937345.0,859889024,3.19,-3.83,-0.36,0.96
000002,万  科Ａ,101,1,2024-01-23,9.0,9.18,9.21,8.93,781749.0,711070016,3.09,1.44,0.13,0.8
