code,name,ktype,fq,tdate,open,close,high,low,cjl,cje,zf,zdf,zde,hsl
"股票代码","股票名称","K线类别","复权信息，除沪深京A股、B股、港股外，其余复权值默认为前复权","交易时间","开盘价","收盘价","最高价","最低价","成交量","成交额","振幅","涨跌幅","涨跌额","换手率"
"000001","平安银行","101","1","2024-04-30","9.24","9.23","9.32","9.17","1324560.0","1431410048","1.62","-0.22","-0.02","0.68"
"000001","平安银行","101","1","2024-05-06","9.4","9.33","9.55","9.28","1784100.0","1953820032","2.93","1.08","0.1","0.92"
"000001","平安银行","101","1","2024-05-07","9.31","9.32","9.33","9.2","1087060.0","1176790016","1.39","-0.11","-0.01","0.56"
"000001","平安银行","101","1","2024-05-08","9.28","9.17","9.32","9.15","1221790.0","1318610048","1.82","-1.61","-0.15","0.63"
"000001","平安银行","101","1","2024-05-09","9.15","9.2","9.26","9.15","1069460.0","1150729984","1.2","0.33","0.03","0.55"
"000001","平安银行","101","1","2024-05-10","9.21","9.38","9.4","9.2","1767840.0","1923449984","2.17","1.96","0.18","0.91"
"000001","平安银行","101","1","2024-05-13","9.34","9.41","9.45","9.25","1402500.0","1530060032","2.13","0.32","0.03","0.72"
"000001","平安银行","101","1","2024-05-14","9.44","9.35","9.5","9.32","1075780.0","1176579968","1.91","-0.64","-0.06","0.55"
"000001","平安银行","101","1","2024-05-15","9.34","9.27","9.36","9.25","868297.0","942908032","1.18","-0.86","-0.08","0.45"
"000001","平安银行","101","1","2024-05-16","9.29","9.61","9.65","9.27","3076290.0","3410149888","4.1","3.67","0.34","1.59"
"000001","平安银行","101","1","2024-05-17","9.62","9.86","9.86","9.57","2841750.0","3200740096","3.02","2.6","0.25","1.46"
"000001","平安银行","101","1","2024-05-20","9.87","9.82","9.97","9.75","2170210.0","2475290112","2.23","-0.41","-0.04","1.12"
"000001","平安银行","101","1","2024-05-21","9.76","9.99","10.06","9.75","2030050.0","2336189952","3.16","1.73","0.17","1.05"
"000001","平安银行","101","1","2024-05-22","10.0","10.0","10.18","9.9","2115530.0","2458449920","2.8","0.1","0.01","1.09"
"000001","平安银行","101","1","2024-05-23","9.97","9.84","10.03","9.81","1841620.0","2110800000","2.2","-1.6","-0.16","0.95"
"000001","平安银行","101","1","2024-05-24","9.81","9.75","9.93","9.74","1398280.0","1593330048","1.93","-0.91","-0.09","0.72"
"000001","平安银行","101","1","2024-05-27","9.75","9.95","9.97","9.75","1454360.0","1663270016","2.26","2.05","0.2","0.75"
"000001","平安银行","101","1","2024-05-28","9.94","9.84","10.02","9.8","1204320.0","1377110016","2.21","-1.11","-0.11","0.62"
"000001","平安银行","101","1","2024-05-29","9.82","9.7","9.89","9.67","1444810.0","1635449984","2.24","-1.42","-0.14","0.74"
"000001","平安银行","101","1","2024-05-30","9.68","9.56","9.78","9.5","1325500.0","1481609984","2.89","-1.44","-0.14","0.68"
"000001","平安银行","101","1","2024-05-31","9.58","9.55","9.63","9.55","826707.0","921248000","0.84","-0.1","-0.01","0.43"
"000001","平安银行","101","1","2024-06-03","9.56","9.42","9.57","9.35","1326700.0","1456089984","2.3","-1.36","-0.13","0.68"
"000001","平安银行","101","1","2024-06-04","9.39","9.46","9.49","9.35","981005.0","1079360000","1.49","0.42","0.04","0.51"
"000001","平安银行","101","1","2024-06-05","9.48","9.31","9.51","9.31","1018970.0","1114160000","2.11","-1.59","-0.15","0.53"
"000001","平安银行","101","1","2024-06-06","9.34","9.34","9.42","9.32","1049330.0","1145990016","1.07","0.32","0.03","0.54"
"000001","平安银行","101","1","2024-06-07","9.36","9.43","9.45","9.33","1170130.0","1281660032","1.28","0.96","0.09","0.6"
"000001","平安银行","101","1","2024-06-11","9.42","9.31","9.46","9.23","1337630.0","1452839936","2.44","-1.27","-0.12","0.69"
"000001","平安银行","101","1","2024-06-12","9.29","9.32","9.35","9.22","957426.0","1037929984","1.4","0.11","0.01","0.49"
"000001","平安银行","101","1","2024-06-13","9.33","9.24","9.37","9.24","1203510.0","1304400000","1.39","-0.86","-0.08","0.62"
"000001","平安银行","101","1","2024-06-14","9.31","9.34","9.39","9.15","1637990.0","1657430016","2.6","1.08","0.1","0.84"
"000001","平安银行","101","1","2024-06-17","9.29","9.26","9.32","9.24","681217.0","688670016","0.86","-0.86","-0.08","0.35"
"000001","平安银行","101","1","2024-06-18","9.27","9.24","9.32","9.2","700653.0","707828992","1.3","-0.22","-0.02","0.36"
"000001","平安银行","101","1","2024-06-19","9.26","9.31","9.37","9.24","796184.0","807676032","1.41","0.76","0.07","0.41"
"000001","平安银行","101","1","2024-06-20","9.32","9.21","9.33","9.21","629628.0","635070016","1.29","-1.07","-0.1","0.32"
"000001","平安银行","101","1","2024-06-21","9.21","9.16","9.25","9.11","830545.0","831177024","1.52","-0.54","-0.05","0.43"
"000001","平安银行","101","1","2024-06-24","9.13","9.14","9.23","9.04","947082.0","944907008","2.07","-0.22","-0.02","0.49"
"000001","平安银行","101","1","2024-06-25","9.15","9.24","9.29","9.14","769993.0","775331968","1.64","1.09","0.1","0.4"
"000001","平安银行","101","1","2024-06-26","9.22","9.24","9.29","9.18","628599.0","633763968","1.19","0.0","0.0","0.32"
"000001","平安银行","101","1","2024-06-27","9.22","9.29","9.37","9.16","928882.0","938953984","2.27","0.54","0.05","0.48"
"000001","平安银行","101","1","2024-06-28","9.26","9.31","9.42","9.25","918090.0","933948032","1.83","0.22","0.02","0.47"
"000001","平安银行","101","1","2024-07-01","9.25","9.51","9.51","9.2","1343050.0","1372550016","3.33","2.15","0.2","0.69"
"000001","平安银行","101","1","2024-07-02","9.46","9.56","9.64","9.44","1384390.0","1440860032","2.1","0.53","0.05","0.71"
"000001","平安银行","101","1","2024-07-03","9.56","9.47","9.59","9.45","713067.0","737326016","1.46","-0.94","-0.09","0.37"
"000001","平安银行","101","1","2024-07-04","9.46","9.42","9.54","9.41","735044.0","757464000","1.37","-0.53","-0.05","0.38"
"000001","平安银行","101","1","2024-07-05","9.42","9.13","9.45","9.08","1713350.0","1721260032","3.93","-3.08","-0.29","0.88"
"000001","平安银行","101","1","2024-07-08","9.1","9.09","9.18","9.01","868660.0","864792000","1.86","-0.44","-0.04","0.45"
"000001","平安银行","101","1","2024-07-09","9.1","9.23","9.26","9.07","1032480.0","1034320000","2.09","1.54","0.14","0.53"
"000001","平安银行","101","1","2024-07-10","9.23","9.3","9.36","9.21","873865.0","886627008","1.63","0.76","0.07","0.45"
"000001","平安银行","101","1","2024-07-11","9.37","9.29","9.39","9.23","721392.0","731788992","1.72","-0.11","-0.01","0.37"
"000001","平安银行","101","1","2024-07-12","9.28","9.47","9.47","9.28","1214160.0","1246880000","2.05","1.94","0.18","0.63"
"000001","平安银行","101","1","2024-07-15","9.47","9.49","9.51","9.42","869412.0","896976000","0.95","0.21","0.02","0.45"
"000001","平安银行","101","1","2024-07-16","9.49","9.46","9.53","9.4","943008.0","971564992","1.37","-0.32","-0.03","0.49"
"000001","平安银行","101","1","2024-07-17","9.46","9.56","9.58","9.44","1220170.0","1266409984","1.48","1.06","0.1","0.63"
"000001","平安银行","101","1","2024-07-18","9.54","9.57","9.59","9.46","1087060.0","1127369984","1.36","0.1","0.01","0.56"
"000001","平安银行","101","1","2024-07-19","9.54","9.53","9.58","9.45","898723.0","929723008","1.36","-0.42","-0.04","0.46"
"000001","平安银行","101","1","2024-07-22","9.52","9.39","9.54","9.35","994481.0","1018659968","1.99","-1.47","-0.14","0.51"
"000001","平安银行","101","1","2024-07-23","9.41","9.34","9.49","9.32","1020150.0","1046990016","1.81","-0.53","-0.05","0.53"
"000001","平安银行","101","1","2024-07-24","9.34","9.29","9.4","9.28","724518.0","736332992","1.28","-0.54","-0.05","0.37"
"000001","平安银行","101","1","2024-07-25","9.28","9.25","9.31","9.16","856404.0","861750016","1.61","-0.43","-0.04","0.44"
"000001","平安银行","101","1","2024-07-26","9.26","9.19","9.28","9.13","929552.0","931880000","1.62","-0.65","-0.06","0.48"
"000001","平安银行","101","1","2024-07-29","9.18","9.27","9.3","9.13","781552.0","788019008","1.85","0.87","0.08","0.4"
"000001","平安银行","101","1","2024-07-30","9.26","9.24","9.29","9.19","613268.0","618057024","1.08","-0.32","-0.03","0.32"
"000001","平安银行","101","1","2024-07-31","9.24","9.43","9.44","9.23","1096910.0","1117769984","2.27","2.06","0.19","0.57"
"000001","平安银行","101","1","2024-08-01","9.41","9.43","9.48","9.33","733884.0","752688000","1.59","0.0","0.0","0.38"
"000001","平安银行","101","1","2024-08-02","9.38","9.3","9.41","9.29","590229.0","601172992","1.27","-1.38","-0.13","0.3"
"000001","平安银行","101","1","2024-08-05","9.27","9.21","9.38","9.21","758979.0","768980992","1.83","-0.97","-0.09","0.39"
"000001","平安银行","101","1","2024-08-06","9.23","9.09","9.28","9.05","1265540.0","1262000000","2.5","-1.3","-0.12","0.65"
"000001","平安银行","101","1","2024-08-07","9.11","9.09","9.14","9.07","517608.0","514848992","0.77","0.0","0.0","0.27"
"000001","平安银行","101","1","2024-08-08","9.08","9.1","9.14","9.06","500411.0","497548000","0.88","0.11","0.01","0.26"
"000001","平安银行","101","1","2024-08-09","9.12","9.2","9.26","9.1","730274.0","732886016","1.76","1.1","0.1","0.38"
"000001","平安银行","101","1","2024-08-12","9.18","9.17","9.21","9.14","353013.0","353251008","0.76","-0.33","-0.03","0.18"
"000001","平安银行","101","1","2024-08-13","9.18","9.11","9.19","9.08","622077.0","620062016","1.2","-0.65","-0.06","0.32"
"000001","平安银行","101","1","2024-08-14","9.1","9.08","9.14","9.07","436380.0","433380000","0.77","-0.33","-0.03","0.22"
"000001","平安银行","101","1","2024-08-15","9.08","9.19","9.22","9.03","776247.0","775851008","2.09","1.21","0.11","0.4"
"000001","平安银行","101","1","2024-08-16","9.24","9.29","9.37","9.21","1260370.0","1277040000","1.74","1.09","0.1","0.65"
"000001","平安银行","101","1","2024-08-19","9.29","9.45","9.46","9.28","1482980.0","1520589952","1.94","1.72","0.16","0.76"
"000001","平安银行","101","1","2024-08-20","9.48","9.5","9.59","9.44","1569190.0","1623149952","1.59","0.53","0.05","0.81"
"000001","平安银行","101","1","2024-08-21","9.46","9.51","9.54","9.37","1034890.0","1068209984","1.79","0.11","0.01","0.53"
"000001","平安银行","101","1","2024-08-22","9.5","9.54","9.61","9.48","1109030.0","1153869952","1.37","0.32","0.03","0.57"
"000001","平安银行","101","1","2024-08-23","9.55","9.63","9.66","9.48","1071910.0","1117479936","1.89","0.94","0.09","0.55"
"000001","平安银行","101","1","2024-08-26","9.66","9.65","9.71","9.58","740675.0","775921984","1.35","0.21","0.02","0.38"
"000001","平安银行","101","1","2024-08-27","9.63","9.59","9.68","9.53","723137.0","755584000","1.55","-0.62","-0.06","0.37"
"000001","平安银行","101","1","2024-08-28","9.57","9.49","9.59","9.44","942548.0","973872000","1.56","-1.04","-0.1","0.49"
"000001","平安银行","101","1","2024-08-29","9.47","9.29","9.54","9.27","1197680.0","1221350016","2.85","-2.11","-0.2","0.62"
"000001","平安银行","101","1","2024-08-30","9.27","9.32","9.42","9.27","1294060.0","1318860032","1.61","0.32","0.03","0.67"
"000001","平安银行","101","1","2024-09-02","9.28","9.27","9.37","9.25","968836.0","983899008","1.29","-0.54","-0.05","0.5"
"000001","平安银行","101","1","2024-09-03","9.27","9.24","9.29","9.16","916581.0","920884992","1.4","-0.32","-0.03","0.47"
"000001","平安银行","101","1","2024-09-04","9.21","9.18","9.31","9.16","847992.0","852225024","1.62","-0.65","-0.06","0.44"
"000001","平安银行","101","1","2024-09-05","9.19","9.23","9.24","9.14","594209.0","595846016","1.09","0.54","0.05","0.31"
"000001","平安银行","101","1","2024-09-06","9.22","9.24","9.37","9.21","878865.0","891507968","1.73","0.11","0.01","0.45"
"000001","平安银行","101","1","2024-09-09","9.21","9.01","9.23","9.0","1639180.0","1624860032","2.49","-2.49","-0.23","0.84"
"000001","平安银行","101","1","2024-09-10","9.02","9.06","9.08","8.94","767901.0","756124992","1.55","0.55","0.05","0.4"
"000001","平安银行","101","1","2024-09-11","9.04","8.81","9.04","8.79","1108730.0","1078599936","2.76","-2.76","-0.25","0.57"
"000001","平安银行","101","1","2024-09-12","8.81","8.9","8.93","8.77","581834.0","564923008","1.82","1.02","0.09","0.3"
"000001","平安银行","101","1","2024-09-13","8.89","8.86","8.98","8.86","566462.0","553270016","1.35","-0.45","-0.04","0.29"
"000001","平安银行","101","1","2024-09-18","8.88","8.93","8.94","8.82","443611.0","431665984","1.35","0.79","0.07","0.23"
"000001","平安银行","101","1","2024-09-19","8.95","8.97","9.0","8.84","684293.0","669340992","1.79","0.45","0.04","0.35"
"000001","平安银行","101","1","2024-09-20","8.97","9.06","9.06","8.94","797297.0","785121024","1.34","1.0","0.09","0.41"
"000001","平安银行","101","1","2024-09-23","9.05","9.2","9.25","9.03","896908.0","897427968","2.43","1.55","0.14","0.46"
"000001","平安银行","101","1","2024-09-24","9.27","9.53","9.53","9.24","1638210.0","1678169984","3.15","3.59","0.33","0.84"
"000001","平安银行","101","1","2024-09-25","9.68","9.66","9.86","9.61","2160690.0","2286000128","2.62","1.36","0.13","1.11"
"000001","平安银行","101","1","2024-09-26","9.66","10.31","10.31","9.66","3086460.0","3341760000","6.73","6.73","0.65","1.59"
"000001","平安银行","101","1","2024-09-27","10.51","10.58","10.72","10.19","3840020.0","4337990144","5.14","2.62","0.27","1.98"
"000001","平安银行","101","1","2024-09-30","10.78","11.37","11.46","10.72","5430280.0","6467440128","6.99","7.47","0.79","2.8"
"000001","平安银行","101","1","2024-10-08","12.59","12.04","12.59","11.5","5888980.0","7602659840","9.59","5.89","0.67","3.03"
"000001","平安银行","101","1","2024-10-09","11.79","10.84","11.79","10.82","4269340.0","5172049920","8.06","-9.97","-1.2","2.2"
"000001","平安银行","101","1","2024-10-10","11.02","11.38","11.66","11.0","3426420.0","4095569920","6.09","4.98","0.54","1.77"
"000001","平安银行","101","1","2024-10-11","11.4","11.12","11.57","10.98","2070890.0","2455849984","5.18","-2.28","-0.26","1.07"
"000001","平安银行","101","1","2024-10-14","11.38","11.42","11.58","11.19","2400600.0","2881929984","3.51","2.7","0.3","1.24"
